epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.05016,2.37836,6.50382,0.00389,0,0,0,0,1.55804,5.29543,0.00374,2e-05,2e-05,2e-05
2,7.38942,2.94642,6.06759,0.00468,0,0,0,0,1.56511,5.29447,0.00377,4.97525e-05,4.97525e-05,4.97525e-05
3,10.682,2.10668,7.0713,0.00378,0,0,0,0,1.58133,5.26743,0.00377,7.9208e-05,7.9208e-05,7.9208e-05
4,13.4243,1.90226,7.07906,0.00373,0,0,0,0,1.58667,5.21005,0.00362,0.000108366,0.000108366,0.000108366
5,16.049,1.8973,5.83683,0.00271,0,0,0,0,1.5893,5.11307,0.00353,0.000137228,0.000137228,0.000137228
6,18.8859,1.93145,6.07168,0.00315,0,0,0,0,1.71991,4.9734,0.00375,0.000165793,0.000165793,0.000165793
7,21.5087,1.74803,5.36409,0.00232,0,0,0,0,1.7017,4.95026,0.00371,0.00019406,0.00019406,0.00019406
8,24.6746,2.21106,5.97874,0.00293,0,0,0,0,1.71055,5.0155,0.0033,0.00022203,0.00022203,0.00022203
9,27.3333,1.70998,6.82057,0.0037,0,0,0,0,1.78817,4.99672,0.0034,0.000249704,0.000249704,0.000249704
10,30.0626,1.66495,5.73904,0.00244,0,0,0,0,1.81394,5.01187,0.00351,0.00027708,0.00027708,0.00027708
11,32.7803,1.44368,5.141,0.00187,0,0,0,0,1.8073,4.99581,0.00335,0.00030416,0.00030416,0.00030416
12,35.4884,1.56423,5.03092,0.00192,0,0,0,0,1.69761,4.98433,0.00329,0.000330942,0.000330942,0.000330942
13,38.6395,1.71236,6.98776,0.0025,0,0,0,0,1.89186,4.93018,0.00373,0.000357428,0.000357428,0.000357428
14,41.3889,1.67918,5.33453,0.0022,0,0,0,0,1.83768,4.95039,0.00367,0.000383617,0.000383617,0.000383617
15,44.0779,1.85484,4.928,0.00203,0,0,0,0,1.666,4.81098,0.00329,0.000409508,0.000409508,0.000409508
16,46.7944,1.28808,4.43882,0.00177,0,0,0,0,1.48761,4.72637,0.00302,0.000435103,0.000435103,0.000435103
17,49.4378,1.43031,4.37822,0.00181,0,0,0,0,1.4723,4.69929,0.00305,0.0004604,0.0004604,0.0004604
18,52.5033,1.41742,4.27463,0.0018,0,0,0,0,1.41974,4.63947,0.00275,0.000485401,0.000485401,0.000485401
19,55.1002,1.2831,4.28112,0.00192,0,0,0,0,1.41974,4.63947,0.00275,0.000510104,0.000510104,0.000510104
20,57.8534,1.69891,4.16335,0.00248,0,0,0,0,1.44437,4.5254,0.00268,0.000534511,0.000534511,0.000534511
21,60.5373,1.53913,4.10103,0.00191,0.01391,0.55,0.21943,0.13597,1.45687,4.34059,0.00272,0.00055862,0.00055862,0.00055862
22,63.4894,1.52755,3.70886,0.00193,0.01391,0.55,0.21943,0.13597,1.45687,4.34059,0.00272,0.000582432,0.000582432,0.000582432
23,66.2259,1.34249,3.30104,0.00192,0.01288,0.55,0.35489,0.241,1.50587,4.05347,0.00303,0.000605948,0.000605948,0.000605948
24,68.9374,1.37486,3.77537,0.00191,0.01321,0.58333,0.30738,0.20388,1.61802,3.81107,0.00336,0.000629166,0.000629166,0.000629166
25,71.4801,1.61112,3.34171,0.00206,0.01321,0.58333,0.30738,0.20388,1.61802,3.81107,0.00336,0.000652088,0.000652088,0.000652088
26,74.1378,1.66173,3.28699,0.002,0.83198,0.21667,0.33081,0.20462,1.68013,3.63822,0.00353,0.000674713,0.000674713,0.000674713
27,77.0331,1.56552,3.8819,0.00246,0.83198,0.21667,0.33081,0.20462,1.68013,3.63822,0.00353,0.00069704,0.00069704,0.00069704
28,79.6892,1.384,2.94353,0.00189,0.95599,0.21667,0.45262,0.26857,1.74981,3.35635,0.00367,0.00071907,0.00071907,0.00071907
29,82.2893,1.75187,3.30039,0.00207,0.95599,0.21667,0.45262,0.26857,1.74981,3.35635,0.00367,0.000740804,0.000740804,0.000740804
30,85.0239,1.40823,3.11484,0.002,0.97568,0.21667,0.49678,0.30285,1.66923,3.02317,0.00354,0.00076224,0.00076224,0.00076224
31,87.992,1.84495,3.04937,0.00196,0.97568,0.21667,0.49678,0.30285,1.66923,3.02317,0.00354,0.00078338,0.00078338,0.00078338
32,90.7634,1.4566,2.71453,0.00168,0.88837,0.25,0.56451,0.36807,1.46352,2.7528,0.00313,0.000804223,0.000804223,0.000804223
33,93.3812,1.70188,2.88377,0.00171,0.88837,0.25,0.56451,0.36807,1.46352,2.7528,0.00313,0.000824768,0.000824768,0.000824768
34,96.1319,1.32729,2.72968,0.00161,0.93398,0.26319,0.58057,0.37789,1.4155,2.59847,0.00303,0.00083665,0.00083665,0.00083665
35,98.7101,1.49095,2.89331,0.00173,0.93398,0.26319,0.58057,0.37789,1.4155,2.59847,0.00303,0.0008317,0.0008317,0.0008317
36,101.439,1.21474,2.76112,0.00183,0.93903,0.26667,0.60336,0.40809,1.2982,2.4893,0.00288,0.00082675,0.00082675,0.00082675
37,104.41,1.53764,2.71246,0.00176,0.93903,0.26667,0.60336,0.40809,1.2982,2.4893,0.00288,0.0008218,0.0008218,0.0008218
38,107.181,1.61143,2.90322,0.00185,0.83312,0.44382,0.63686,0.45396,1.17072,2.35448,0.00242,0.00081685,0.00081685,0.00081685
39,109.748,1.63899,2.8465,0.0017,0.83312,0.44382,0.63686,0.45396,1.17072,2.35448,0.00242,0.0008119,0.0008119,0.0008119
40,112.472,1.57498,2.62157,0.00169,0.78217,0.43889,0.69508,0.51126,1.10191,2.19323,0.0023,0.00080695,0.00080695,0.00080695
41,115.106,1.52235,2.57633,0.00199,0.78217,0.43889,0.69508,0.51126,1.10191,2.19323,0.0023,0.000802,0.000802,0.000802
42,118.209,1.61813,2.46739,0.00174,0.69367,0.52222,0.738,0.54837,1.2262,2.08784,0.00262,0.00079705,0.00079705,0.00079705
